                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58053,                 1.1888,                 1.8375,                 1.1078,                 0.8056,                  0.134,                0.17369,                0.12288,                 0.8056,                  0.134,                 0.1742,                0.13905,                    nan,                 3.1032,                    nan,                    nan,                0.00052,                0.00052,                0.00052
                      2,                0.66302,                0.74351,                 1.2729,                 1.1039,                0.74795,                0.17742,                0.16926,                0.11765,                0.74795,                0.17742,                0.16933,                0.12244,                    nan,                 4.2443,                    nan,                    nan,              0.0010548,              0.0010548,              0.0010548
                      3,                0.76676,                 0.8451,                 1.2714,                 1.1518,                0.58092,                0.20968,                0.15717,                0.11301,                0.59389,                0.19355,                0.15626,                0.11008,                    nan,                 16.137,                    nan,                    nan,              0.0015842,              0.0015842,              0.0015842
                      4,                0.88131,                0.88339,                 1.3345,                 1.2547,                0.61258,                0.16129,                0.13664,                0.06421,                0.52561,                0.17742,                0.14989,                  0.077,                    nan,                 14.763,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      5,                0.82596,                0.85264,                  1.249,                 1.2149,                0.41776,                0.19355,                0.14308,                0.06212,                0.34009,                0.16129,                0.12312,                0.07007,                    nan,                  18.03,                    nan,                    nan,              0.0019703,              0.0019703,              0.0019703
                      6,                0.89658,                0.99856,                 1.2419,                  1.292,                0.64847,                0.20833,                0.16233,                0.10794,                0.64847,                0.20833,                0.16233,                0.11256,                    nan,                 17.102,                    nan,                    nan,              0.0019604,              0.0019604,              0.0019604
                      7,                0.82358,                0.93876,                 1.1276,                 1.1795,                0.85386,                0.20968,                0.18895,                 0.1257,                0.85386,                0.20968,                0.18895,                0.12371,                    nan,                  4.966,                    nan,                    nan,              0.0019505,              0.0019505,              0.0019505
                      8,                0.80718,                0.78436,                 1.0869,                 1.2201,                0.40228,                0.19355,                0.14992,                0.08977,                0.40228,                0.19355,                0.14997,                0.09256,                    nan,                 3.9892,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      9,                0.88587,                0.96343,                 1.1056,                 1.2399,                0.59917,                0.16129,                0.13368,                0.10417,                0.59917,                0.16129,                0.13272,                0.10301,                    nan,                 2.9232,                    nan,                    nan,              0.0019307,              0.0019307,              0.0019307
                     10,                0.77823,                0.87368,                0.99883,                 1.1514,                0.74952,                0.20968,                0.18182,                0.14116,                0.74952,                0.20968,                0.18195,                0.15145,                    nan,                 2.5551,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
