iter	RMSE
0	13241.36622
1	13072.81256
2	12994.62425
3	12922.48483
4	12894.54216
5	12870.86605
6	12832.1003
7	12819.12257
8	12720.76972
9	12686.87987
10	12660.42547
11	12627.72976
12	12615.90705
13	12595.43633
14	12520.13057
15	12487.44227
16	12456.94096
17	12412.08766
18	12325.72042
19	12264.24627
20	12254.33217
21	12241.45352
22	12221.24346
23	12207.1904
24	12155.49366
25	12145.33514
26	12130.40311
27	12116.88592
28	12097.82271
29	12085.01483
30	12063.60475
31	12052.67435
32	12019.86346
33	11972.67017
34	11950.62949
35	11941.47805
36	11916.81086
37	11883.39072
38	11872.3877
39	11852.05815
40	11842.75081
41	11822.42195
42	11801.06616
43	11772.25882
44	11753.67422
45	11743.84561
46	11724.70771
47	11717.74812
48	11687.57365
49	11662.18812
50	11651.5993
51	11645.44972
52	11640.70244
53	11623.83113
54	11616.60356
55	11595.38839
56	11590.63845
57	11565.36252
58	11547.40834
59	11539.94233
60	11530.59979
61	11503.20829
62	11459.82779
63	11448.44421
64	11434.00882
65	11404.49413
66	11375.17035
67	11361.82593
68	11328.9623
69	11318.47335
70	11303.15133
71	11285.42043
72	11256.83751
73	11242.76517
74	11228.23145
75	11202.04044
76	11176.35818
77	11158.72593
78	11150.75419
79	11129.8759
80	11123.61521
81	11107.15392
82	11095.43942
83	11068.64316
84	11043.92971
85	11033.329
86	11015.86842
87	11002.06498
88	10976.31297
89	10968.97058
90	10952.86132
91	10933.15583
92	10917.7384
93	10908.67587
94	10882.04263
95	10873.60717
96	10860.53954
97	10846.80945
98	10834.53988
99	10819.98044
