iter	Passed	Remaining
0	189	18715
1	190	9327
2	191	6180
3	191	4605
4	192	3660
5	193	3030
6	194	2580
7	195	2242
8	195	1979
9	196	1768
10	197	1596
11	198	1452
12	198	1330
13	199	1225
14	200	1135
15	201	1055
16	201	985
17	202	923
18	203	867
19	204	817
20	205	771
21	205	729
22	206	691
23	207	656
24	208	624
25	208	594
26	209	566
27	210	541
28	211	517
29	212	494
30	212	473
31	213	453
32	214	435
33	215	417
34	216	401
35	216	385
36	217	370
37	218	356
38	219	342
39	219	329
40	220	317
41	221	305
42	222	294
43	222	283
44	223	273
45	224	263
46	225	253
47	225	244
48	226	235
49	227	227
50	228	219
51	228	211
52	229	203
53	230	196
54	231	189
55	232	182
56	233	175
57	233	169
58	234	163
59	235	156
60	236	150
61	236	145
62	237	139
63	238	134
64	239	128
65	239	123
66	240	118
67	241	113
68	242	108
69	243	104
70	244	99
71	245	95
72	246	91
73	246	86
74	247	82
75	248	78
76	249	74
77	250	70
78	251	66
79	251	62
80	252	59
81	253	55
82	254	52
83	254	48
84	255	45
85	257	41
86	258	38
87	259	35
88	260	32
89	261	29
90	262	25
91	262	22
92	263	19
93	264	16
94	265	13
95	266	11
96	267	8
97	268	5
98	269	2
99	270	0
